id,num_of_passes,diffTime,average
1870,100,3105,3161
1871,100,3120,3161
1872,100,3105,3160
1873,100,3166,3160
1874,100,3195,3161
1875,100,3166,3161
1876,100,3135,3160
1877,100,3180,3161
1878,100,3166,3161
1879,100,3120,3160
1880,100,3106,3160
1881,100,3045,3160
1882,100,3120,3160
1883,100,3136,3160
1884,100,3180,3160
1885,100,3211,3160
1886,100,3195,3160
1887,100,3180,3160
1888,100,3120,3160
1889,100,3120,3160
1890,100,3136,3160
1891,100,3135,3160
1892,100,3136,3160
1893,100,3135,3160
1894,100,3150,3160
1895,100,3181,3160
1896,100,3030,3160
1897,100,3076,3160
1898,100,3135,3160
1899,100,3120,3160
1900,100,3076,3160
1901,100,3120,3160
1902,100,3091,3160
1903,100,3105,3160
1904,100,3180,3160
1905,100,3196,3160
1906,100,3120,3160
1907,100,3166,3160
1908,100,3210,3160
1909,100,3120,3160
1910,100,3210,3160
1911,100,3240,3160
1912,100,3136,3160
1913,100,3120,3160
1914,100,3136,3160
1915,100,3105,3160
1916,100,3150,3160
1917,100,3046,3160
1918,100,3105,3160
1919,100,3121,3160
1920,100,3150,3160
1921,100,3120,3160
1922,100,3166,3160
1923,100,3135,3160
1924,100,3211,3160
1925,100,3120,3160
1926,100,3165,3160
1927,100,3181,3160
1928,100,3255,3160
1929,100,3271,3160
1930,100,3150,3160
1931,100,3180,3160
1932,100,3090,3160
1933,100,3090,3160
1934,100,3061,3160
1935,100,3120,3160
1936,100,3106,3160
1937,100,3105,3160
1938,100,3165,3160
1939,100,3091,3160
1940,100,3135,3160
1941,100,3151,3160
1942,100,3150,3160
1943,100,3165,3160
1944,100,3121,3160
1945,100,3180,3160
1946,100,3121,3160
1947,100,3300,3160
1948,100,3195,3160
1949,100,3300,3160
1950,100,3195,3160
1951,100,3136,3160
1952,100,3150,3160
1953,100,3061,3160
1954,100,3075,3160
1955,100,3105,3160
1956,100,3061,3160
1957,100,3165,3160
1958,100,3106,3160
1959,100,3120,3160
1960,100,3090,3160
1961,100,3106,3160
1962,100,3180,3160
1963,100,3121,3160
1964,100,3255,3160
1965,100,3180,3160
1966,100,3166,3160
1967,100,3165,3160
1968,100,3166,3160
1969,100,3195,3160
1970,100,3195,3160
1971,100,3165,3160
1972,100,3090,3160
1973,100,3211,3160
1974,100,3120,3160
1975,100,3136,3160
1976,100,3105,3160
1977,100,3090,3160
1978,100,3151,3160
1979,100,3135,3160
1980,100,3121,3160
1981,100,3150,3160
1982,100,3105,3160
1983,100,3181,3160
1984,100,3180,3160
1985,100,3271,3160
1986,100,3255,3160
1987,100,3120,3160
1988,100,3271,3160
1989,100,3105,3160
1990,100,3211,3160
1991,100,3135,3160
1992,100,3195,3160
1993,100,3090,3160
1994,100,3120,3160
1995,100,3136,3160
1996,100,3150,3160
1997,100,3091,3160
1998,100,3120,3160
1999,100,3090,3160
2000,100,3091,3160
2001,100,3105,3159
2002,100,3151,3159
2003,100,3165,3159
2004,100,3195,3159
2005,100,3151,3159
2006,100,3165,3159
2007,100,3211,3160
2008,100,3105,3159
2009,100,3165,3159
2010,100,3150,3159
2011,100,3225,3160
2012,100,3226,3160
2013,100,3150,3160
2014,100,3136,3160
2015,100,3150,3160
2016,100,3030,3159
2017,100,3091,3159
2018,100,3075,3159
2019,100,3136,3159
2020,100,3165,3159
2021,100,3120,3159
2022,100,3121,3159
2023,100,3120,3159
2024,100,3091,3159
2025,100,3180,3159
2026,100,3150,3159
2027,100,3136,3159
2028,100,3180,3159
2029,100,3196,3159
2030,100,3195,3159
2031,100,3120,3159
2032,100,3195,3159
2033,100,3090,3159
2034,100,3121,3159
2035,100,3105,3159
2036,100,3076,3159
2037,100,3075,3159
2038,100,3120,3159
2039,100,3076,3159
2040,100,3135,3159
2041,100,3106,3159
2042,100,3120,3159
2043,100,3120,3159
2044,100,3226,3159
2045,100,3165,3159
2046,100,3256,3159
2047,100,3075,3159
2048,100,3165,3159
2049,100,3196,3159
2050,100,3120,3159
2051,100,3136,3159
2052,100,3150,3159
2053,100,3075,3159
2054,100,3165,3159
2055,100,3165,3159
2056,100,3121,3159
2057,100,3150,3159
2058,100,3120,3159
2059,100,3105,3159
2060,100,3150,3159
2061,100,3136,3159
2062,100,3090,3159
2063,100,3151,3159
2064,100,3105,3159
2065,100,3135,3159
2066,100,3091,3159
2067,100,3150,3159
2068,100,3151,3159
2069,100,3120,3159
2070,100,3135,3159
2071,100,3136,3159
2072,100,3105,3159
2073,100,3136,3159
2074,100,3135,3159
2075,100,3150,3159
2076,100,3196,3159
2077,100,3120,3159
2078,100,3166,3159
2079,100,3060,3159
2080,100,3120,3159
2081,100,3090,3159
2082,100,3120,3159
2083,100,3076,3159
2084,100,3135,3159
2085,100,3076,3159
2086,100,3135,3159
2087,100,3120,3158
2088,100,3151,3158
2089,100,3195,3158
2090,100,3196,3159
2091,100,3120,3158
2092,100,3210,3159
2093,100,3076,3158
2094,100,3105,3158
2095,100,3226,3158
2096,100,3165,3158
2097,100,3225,3159
2098,100,3090,3158
2099,100,3090,3158
2100,100,3061,3158
2101,100,3150,3158
2102,100,3120,3158
2103,100,3150,3158
2104,100,3075,3158
2105,100,3136,3158
2106,100,3120,3158
2107,100,3136,3158
2108,100,3105,3158
2109,100,3135,3158
2110,100,3091,3158
2111,100,3195,3158
2112,100,3121,3158
2113,100,3120,3158
2114,100,3165,3158
2115,100,3121,3158
2116,100,3195,3158
2117,100,3136,3158
2118,100,3135,3158
2119,100,3105,3158
2120,100,3061,3158
2121,100,3150,3158
2122,100,3151,3158
2123,100,3135,3158
2124,100,3180,3158
2125,100,3120,3158
2126,100,3150,3158
2127,100,3091,3158
2128,100,3225,3158
2129,100,3136,3158
2130,100,3165,3158
2131,100,3165,3158
2132,100,3151,3158
2133,100,3150,3158
2134,100,3166,3158
2135,100,3075,3158
2136,100,3105,3158
2137,100,3121,3158
2138,100,3165,3158
2139,100,3106,3158
2140,100,3180,3158
2141,100,3255,3158
2142,100,3210,3158
2143,100,3135,3158
2144,100,3106,3158
2145,100,3150,3158
2146,100,3090,3158
2147,100,3180,3158
2148,100,3105,3158
2149,100,3091,3158
2150,100,3150,3158
2151,100,3121,3158
2152,100,3120,3158
2153,100,3150,3158
2154,100,3076,3158
2155,100,3090,3158
2156,100,3121,3158
2157,100,3225,3158
2158,100,3180,3158
2159,100,3361,3158
2160,100,3210,3158
2161,100,3226,3158
2162,100,3120,3158
2163,100,3195,3158
2164,100,3090,3158
2165,100,3150,3158
2166,100,3151,3158
2167,100,3135,3158
2168,100,3151,3158
2169,100,3105,3158
2170,100,3045,3158
2171,100,3031,3158
2172,100,3090,3158
2173,100,3061,3158
2174,100,3060,3158
2175,100,3135,3158
2176,100,3166,3158
2177,100,3150,3158
2178,100,3211,3158
2179,100,3150,3158
2180,100,3255,3158
2181,100,3166,3158
2182,100,3255,3158
2183,100,3076,3158
2184,100,3135,3158
2185,100,3150,3158
2186,100,3120,3158
2187,100,3075,3158
2188,100,3046,3158
2189,100,3060,3158
2190,100,3045,3158
2191,100,3045,3157
2192,100,3105,3157
2193,100,3106,3157
2194,100,3120,3157
2195,100,3136,3157
2196,100,3150,3157
2197,100,3210,3157
2198,100,3181,3157
2199,100,3255,3157
